Age,Education,Occupation,Gender,Comments
30-40,Post Graduate,Professional/Service,Male,"Product range,  Ease of return,  Quality,  mode of payments"
15-30,Graduate,Professional/Service,Male,"Maximum Options,   Security,   Easy to choose,   Discounts"
above 51,Graduate,Professional/Service,Female,"Product Description,   Reviews,  Known Website,  Return Policy"
40-50,Graduate,Professional/Service,Female,"customer review on site,   clear product description,   vlog review,  brand trust"
30-40,Graduate,Professional/Service,Male,Choice and preference 
30-40,Post Graduate,Professional/Service,Female,"Need,  review,  cost,  time"
30-40,Graduate,Professional/Service,Male,"review,   price,   availability,  cancellation"
30-40,Graduate,Professional/Service,Male,"Brand Repo,   Product repo,   future customer support,   price"
30-40,Graduate,Professional/Service,Male,"Price,  Quality,  Returnable,  Delivery"
15-30,Graduate,Professional/Service,Male,"price,   variety,   seller review ,   product availability offline"
30-40,Graduate,Professional/Service,Male,"what i want,   review,   new innovative things,  "
30-40,Graduate,Professional/Service,Male,"Price ,   Rating,   Quality ,   Reviews"
30-40,Graduate,Professional/Service,Male,"Brand Name,   Quality,   Pricing,   aesthetics "
30-40,Post Graduate,Professional/Service,Male,"Time saving ,   Returnpolicy,   EMI facility ,   Deals (Discount)"
30-40,Post Graduate,Professional/Service,Female,Quality
30-40,Post Graduate,Professional/Service,Female,Saves time
15-30,Graduate,Professional/Service,Female,"Features,   Amount,   Rating,   Reviews"
30-40,Post Graduate,Professional/Service,Male,"offers,   seller rating,   consumer ratings,   delivery time"
15-30,Graduate,Professional/Service,Male,"Rating,   Review,   returnpolicy,   popularity"
15-30,Graduate,Professional/Service,Female,"Quality,  Price,  Quicker,  Discounts"
15-30,Post Graduate,Professional/Service,Male,"Cheaper,   no of variety,   reviews,   original"
15-30,Graduate,Professional/Service,Male,"Simple,  Efficient,   value for money,   reviewed "
30-40,Graduate,Professional/Service,Female,"size,   price,   quality,   duration of delivery"
15-30,Graduate,Professional/Service,Male,"Quality,   Rating,   Price and Deal"
15-30,Post Graduate,Professional/Service,Male,"price,   quality,   discaount"
15-30,Post Graduate,Homemaker,Female,Customer reviews
30-40,Post Graduate,Business,Male,Quality
30-40,Graduate,Professional/Service,Male,Online reviews | price and offers | seller details | options available
30-40,Graduate,Professional/Service,Female,Should be worth it 
15-30,High School,Student,Male,"Correct product info,   secured payment gateways ,   timely logistics ,   customer reviews"
15-30,Post Graduate,Professional/Service,Male,"Quality,   brand,   reviews,   & authentic website"
15-30,Graduate,Professional/Service,Female,Price
30-40,Graduate,Professional/Service,Male,"Price,   reviews,   services,   usage "
30-40,High School,Student,Male,1.Whether the product is original or not 2. List price on different websites 3. customer reviews 4. Service rating 5. returnpolicy
30-40,PHD,Business,Male,"Good company,   low price,   quality of product "
15-30,Post Graduate,Homemaker,Female,"Brand,   reviews,   price,   authentic website"
30-40,Graduate,Professional/Service,Female,"Quality ,   return policy"
30-40,Post Graduate,Professional/Service,Male,"Price,   Authenticity,   ease,   return option"
30-40,Post Graduate,Professional/Service,Male,YouTube reviews and brand image 
30-40,Post Graduate,Professional/Service,Female,"cost,   rating,   reviews,   delivery speed"
30-40,Graduate,Student,Female,"Price,   availability,   appearance,   detailed features must be listed"
15-30,Post Graduate,Professional/Service,Female,"Price ,   reviews ,   return policy"
30-40,Post Graduate,Professional/Service,Male,"Price,   features,   reviews,   free and fast shipping,   "
15-30,Graduate,Professional/Service,Male,discount time-saving home delivery return option 
40-50,Post Graduate,Professional/Service,Male,"Price,   Reviews,   Availability,   Shipping"
30-40,Graduate,Professional/Service,Male,"Price,   Quality,   Service,   Availability "
15-30,Graduate,Professional/Service,Male,I prefer COD as I hear many frauds where the ordered product is not delivered. I generally buy when discount is offered online. There is no need to go shopping.
40-50,Post Graduate,Professional/Service,Female,"cheap price,   returnpolicy"
15-30,Graduate,Professional/Service,Male," Customer review,   Expert review,   Other site review,    Once check the produCt in local market."
15-30,Post Graduate,Professional/Service,Female,"Review,   Price,  Need,   Time of delivery"
15-30,Graduate,Professional/Service,Female,"Prize,   review,   rating,   easy availability "
30-40,Graduate,Professional/Service,Female,"Brand ,   price,   discount ,  availability at address"
15-30,Graduate,Business,Male,"Authenticity,   returnpolicy"
15-30,High School,Student,Male," Quality,   Price,   Shipping charges,   Product reviews"
30-40,Post Graduate,Business,Male,"Discount,   delivery time,   reasy returns/refund,   trust in e-commerce partner"
15-30,Post Graduate,Professional/Service,Female,"Price,   comparison results from other sites,   review and feedback of after services"
30-40,Post Graduate,Professional/Service,Male,"Discounts,   accessable shopping,   better comparision,   variety of options at ine place"
15-30,Graduate,Professional/Service,Male,"Price,   home delivery,   easy return and exchange ,   option to choose among high varitety "
30-40,Post Graduate,Professional/Service,Male,"Price,   Product Rating,   Seller rating,   Quality"
30-40,Post Graduate,Professional/Service,Male,"Price,   delivery time,   rating,   return policy"
30-40,Graduate,Professional/Service,Male,"Quality,   Price,   Supplier rating & payment mode"
30-40,Post Graduate,Professional/Service,Female,Delivery time price authenticity cashback offers if any
30-40,Graduate,Professional/Service,Female,Good looks; better pricing; good reviews; returnable if not liked
above 51,Post Graduate,Professional/Service,Female,"Price ,  variety,   saves time and show usage sometimes"
30-40,Post Graduate,Professional/Service,Male,"1- when same product is being used by my friend,   2- online review,   3- online discount 4- some times distance and time issue "
15-30,Graduate,Professional/Service,Male,"price,   ratings,   source"
30-40,Post Graduate,Professional/Service,Male,1- Time saving 2- Cost effective 3- Good service 4- Reliable
30-40,Post Graduate,Professional/Service,Female,"returnpolicy,   Ease of  Access"
above 51,PHD,Professional/Service,Female,"Budget,   Offers,   Variation,   Comparison with other similar products "
15-30,Graduate,Professional/Service,Male,"Price,   ratings,   review,   comparison"
30-40,Graduate,Professional/Service,Male,Ease of  Access
30-40,Graduate,Professional/Service,Male,"Rate,  review,  life,  performance"
30-40,Graduate,Professional/Service,Male,"Discount,   easiness,   return facility,   cost effective "
30-40,Post Graduate,Professional/Service,Male,"1- when same product is being used by my friend,   2- online review,   3- online discount 4- some times distance and time issue "
15-30,Graduate,Professional/Service,Female,"Multiple Options,   Discount,   Easy to buy,   Easy returns"
15-30,Post Graduate,Professional/Service,Male,1. Price 2. Brand 3. Online Reviews 4. Availability 
above 51,Post Graduate,Professional/Service,Male,"Price (read Discounts),   Timely delivery,   Unavailability of product locally"
30-40,Post Graduate,Professional/Service,Male,"Reviews,   price,   availability and utility"
15-30,Graduate,Professional/Service,Male,"Price,   durability,   features,   longevity "
30-40,Post Graduate,Professional/Service,Male,"Reputation,   Price,   Recommendation from family,   Reviews"
15-30,Post Graduate,Professional/Service,Female,"Stars,   reviews,   comparative cost"
15-30,Graduate,Professional/Service,Female,"Price,   Ease of  Access"
30-40,Graduate,Professional/Service,Male,"genuine ,   quality ,   cost and delivery"
15-30,Post Graduate,Professional/Service,Female,"Review,   price,   delivery date,   brand"
above 51,Post Graduate,Professional/Service,Female,"Discounts offered,   seller credentials,   free delivery,   return policy"
30-40,Post Graduate,Professional/Service,Male,"Online reviews,   Offers,   faster delivery & best price"
30-40,Graduate,Professional/Service,Male,"trusted website,  seller,  time to receive,   prices"
above 51,Post Graduate,Professional/Service,Female,"Quality,  cost,  service,  productivity"
30-40,Graduate,Professional/Service,Male,"Cost,   Ease of  Access"
30-40,Post Graduate,Professional/Service,Female,"Price,   quality,   popularity,   reviews,   delivery Lead time"
40-50,Post Graduate,Professional/Service,Female,"Time,  money exertion and return policy"
40-50,Post Graduate,Professional/Service,Female,I only buy online products when the purchase of the product is verified by customers with satisfying reviews.
40-50,Graduate,Professional/Service,Female,"Worth it,  uses,  discount,  time of delivery"
30-40,Post Graduate,Homemaker,Female,"Price,   fearures,   brand,   quality "
30-40,Graduate,Professional/Service,Male,Ease of  Access
40-50,Post Graduate,Professional/Service,Male,"price,  delivery time,   ease,   reputation of seller"
30-40,Graduate,Professional/Service,Male,"1.) Brand,   2.) cost,   3.) quality,   4.) reviews"
above 51,Post Graduate,Professional/Service,Female,"Online reviews,  buyers reviews,  rates,  stars "
15-30,Post Graduate,Professional/Service,Female,Product quality 
above 51,PHD,Retired,Male,"Expiry date,  Quality,   price,   delivery time,  "
15-30,Graduate,Professional/Service,Male,"Variety,  ease of buyinh,  one stop shop,   discount"
above 51,PHD,Professional/Service,Female,"Make/brand,   ratings,   cost & discounts,   return /replacement policy "
30-40,PHD,Homemaker,Female,"Schemes,   easy purchase,   reviews"
40-50,PHD,Professional/Service,Male,Brand value
above 51,Post Graduate,Retired,Female,"Quality,  Price,  After sales services,   reviews. "
15-30,PHD,Student,Female,"Brand name,   reviews,   usage,   price"
30-40,Post Graduate,Professional/Service,Female,"price of the product,  utility of product,  worth,  reviews of the product"
40-50,Graduate,Professional/Service,Female,"Utility,   brand,   "
15-30,Post Graduate,Student,Female,"Price,   discount,   popularity,   reviews"
15-30,Graduate,Student,Male,"Quality,   Price,   Brand,   Previous Experience"
15-30,Graduate,Student,Male,"Variety of products,   Price,   Speed of delivery,   Exchange Refund Policies"
15-30,Post Graduate,Student,Male,"Price,   User ratings,    delivery period,     Quality"
15-30,Graduate,Student,Male,"Convenience ,   price,   gurantee,   quality"
15-30,Graduate,Student,Female,"Review ,   image,   price,   description"
15-30,Post Graduate,Professional/Service,Male,"Product description ,  user review,   original image of the product "
15-30,Post Graduate,Professional/Service,Male,"Importance,   Convenient,   Price,   Looks  "
15-30,Graduate,Professional/Service,Female,"Quality,   specifications,   deals,   services"
15-30,Post Graduate,Student,Female,"Price,   Reviews,   Delivery Time and Specifications"
15-30,Post Graduate,Professional/Service,Male,"Genuineness,   timely delivery,   price,   ease of shopping"
15-30,Graduate,Student,Male,Price; Brands; Number and quality of reviews; Prime eligibility
15-30,Graduate,Student,Male,"Utility,   Value For Money,   Reviews"
15-30,Post Graduate,Professional/Service,Female,Quality price reviews and usage
15-30,Post Graduate,Student,Female,"Brand,   reviews,   authenticity,   type of product "
15-30,Post Graduate,Student,Female,"Review,   Product quality,   Variation,   Price."
15-30,Post Graduate,Business,Female,"website,   review,   offline and online price comparison,   at ease purchasing"
15-30,Post Graduate,Professional/Service,Female,"Picture of product,   detailed user reviews,   return policy,   price"
15-30,Graduate,Student,Male,"Price,   product description,   brand,   review"
15-30,Post Graduate,Student,Male,"Quality,   Durability,   Price,   Service"
15-30,Graduate,Student,Male,"Price,   quality,   time of delivery,   after service"
15-30,Post Graduate,Professional/Service,Female,"Reviews,   brand,   price,   warranty "
15-30,Graduate,Student,Male,1. Delivery duration 2. Price 3.Website from which I am purchasing 4. Reviews
30-40,Graduate,Professional/Service,Male,"Discount,   Brand,   Return policy and Product description"
30-40,Graduate,Professional/Service,Male,"Convenience,   quality assurance,   product reviews,  "
15-30,Post Graduate,Student,Female,"Price,   Quality,   Brand,   Variety"
40-50,Post Graduate,Homemaker,Female,"Ease,   returnpolicy"
30-40,Post Graduate,Professional/Service,Female,"requirement,   availibility ,  cost ,  market value"
above 51,Graduate,Retired,Male,"Best Prices,   Brand's,   Quality and exchangeable facility"
40-50,Post Graduate,Professional/Service,Female,I find it cheaper. I don't get this product otherwise.My last experience. Customer review
30-40,PHD,Professional/Service,Female,"Quality,   customer reviews,   brands,   delivery timing"
15-30,Post Graduate,Teacher,Female,"Website,  Rating,   reviews,   brand"
above 51,Graduate,Business,Male,"Need,    price,   durability,   efficiency "
40-50,Post Graduate,Professional/Service,Male,"quality,   price,   utility and value"
above 51,Graduate,Business,Male,"Best price,   brands,   exchangeable,   quality"
above 51,Graduate,Professional/Service,Male,Rates & quality
15-30,Post Graduate,Student,Female,Ease of  Access
above 51,Post Graduate,Retired,Female,"Easy shopping,  time saving,  lower price than market,  ,  refundable opportunity."
15-30,Graduate,Professional/Service,Female,Quality and Cost
above 51,Post Graduate,Retired,Female,"Best price,   discounts,   brands,   exchangeable"
15-30,Post Graduate,Business,Female,"Returnable,   Price,   offers"
15-30,Post Graduate,Professional/Service,Male,"Price,   reviews,   over the top offers such as cashback,   returnablity"
15-30,Graduate,Student,Male,"Price,   Rating,   Offers,   Delivery"
15-30,Graduate,Professional/Service,Female,"Quality,   Reviews,   Discounts"
above 51,Post Graduate,Professional/Service,Female,"Time,   Ease of  Access,   returnpolicy"
30-40,Post Graduate,Business,Male,"discount %,   seller credibility (amazon verified),   Popularity (prefere products with above 200-300 reviews),   technical/functional product over aesthetic /lifestyle P "
15-30,High School,Student,Female,1-Brand 2-reviews  3-ratings 4-price
